Nombre del Programa,Tipo de Programa,Escuela,Campus,Duración,Periodo,Plan de Estudios
ARQ-Arquitectura,Carrera profesional,Ambiente Construido,Ciudad de México; Estado de México; Santa Fe; Guadalajara; Monterrey; Puebla; Querétaro; Sonora Norte,8 semestres,Semestral,1° Semestre: Análisis químico del ambiente y de los materiales de construcción; Resolución de problemas con lógica computacional; Razonamiento basado en matemáticas; Modelación de la física en el ambiente construido: Dinámica; Modelación de la física en el ambiente construido: Estática; Materia Optativa; Exploración en el hábitat: de la escala del elemento al territorio.|2° Semestre: Análisis de fenómenos naturales y sociales con probabilidad y estadística; Fundamentos de geología aplicada en el ambiente construido; Modelación y representación gráfica en tu entorno con geomática; Aplicación de métodos numéricos al ambiente construido; Evaluación del impacto ambiental de proyectos territoriales; Modelación y representación gráfica de tu campus con topología; Modelación y representación gráfica de un edificio; Materia Optativa.|3° Semestre: Diseño y construcción de un hábitat efímero; La conceptualización del espacio; su teoría y su historia; Representación de la arquitectura y su construcción; Materia Optativa; De la idea al modelo arquitectónico.|4° Semestre: Arquitectura y contextos; Equipamiento comunitario; Investigación y proyecto arquitectónico; Materia Optativa.|5° Semestre: Vivienda colectiva; Vivienda unifamiliar; Constructibilidad; Optativa de ética y ciudadanía.|6° Semestre: Tópicos I; Tópicos II; Tópicos III; Tópicos VI; Tópicos V; Tópicos VI.|7° Semestre: Optativa Profesional I; Optativa Profesional II; Optativa Profesional III; Optativa Profesional IV; Optativa Profesional V; Optativa Profesional VI.|8° Semestre: Emprendimiento en el ámbito de la arquitectura; Gestión arquitectónica; Optativa profesional multidisciplinaria.
IC-Ingeniería Civil,Carrera profesional,Ambiente Construido,Estado de México; Santa Fe; Guadalajara; Monterrey; Puebla; Querétaro,8 semestres,Semestral,1° Semestre: Optativa de matemáticas y ciencias; Modelación de la ingeniería y ciencias; Modelación del movimiento en ingeniería; Aplicación de las leyes de conservación en sistemas ingenieriles; Modelación matemática fundamental; Análisis de la estructura; propiedades y transformación de la materia; Pensamiento computacional para ingeniería.|2° Semestre: Optativa de humanidades y bellas artes; Experimentación física y pensamiento estadístico; Aplicación de la termodinámica en sistemas ingenieriles; Análisis de sistemas eléctricos en sistemas ingenieriles; Análisis de sistemas electromagnéticos en sistemas ingenieriles; Modelación matemática intermedia; Modelación matricial; Análisis estadístico; Experimentación química y pensamiento estadístico fundamental.|3° Semestre: Optativa de ciencias sociales y del comportamiento; Desarrollo de proyectos de análisis de datos; Diseño y análisis de experimentos para la innovación ingenieril; Análisis de equilibrio estático; Modelación de procesos mediante álgebra lineal; Modelación en ingeniería mediante sistemas dinámicos; Tópico de exploración; Análisis de circuitos eléctricos.|4° Semestre: Análisis de la interacción del ambiente construido y el entorno; Evaluación del comportamiento de materiales en estructuras; Análisis del comportamiento de sistemas hidráulicos; Modelación de la información en la construcción; Gestión de costos; Planeación y control de obra; Optativa de liderazgo; emprendimiento e innovación.|5° Semestre: Evaluación del comportamiento de sistemas estructurales; Diseño de sistemas hidráulicos para el uso sustentable del agua; Diseño de vialidades para el desarrollo; Gestión de proyectos; Gestión de operaciones de construcción; Gestión empresarial en la industria de la construcción; Optativa de ética y ciudadanía.|6° Semestre: Modelación de técnicas de saneamiento del agua; Diseño de movilidad eficiente de personas y mercancías; Diseño estructural con concreto reforzado y acero.|7° Semestre: Optativa Profesional I; Optativa Profesional II; Optativa Profesional III; Optativa Profesional IV; Optativa Profesional V; Optativa Profesional VI.|8° Semestre: Integración de proyectos de ingeniería civil; Optativa profesional multidisciplinaria.
LUB-Licenciatura en Urbanismo,Carrera profesional,Ambiente Construido,Monterrey,8 semestres,Semestral,1° Semestre: Exploración en el hábitat: de la escala del elemento al territorio; Modelación de la física en el ambiente construido; Razonamiento basado en matemáticas; Resolución de problemas con lógica computacional; Análisis químico del ambiente y de los materiales de construcción; Optativa de matemáticas y ciencias.|2° Semestre: Modelación y representación gráfica de un edificio; Modelación y representación gráfica de tu campus con topografía; Modelación y representación gráfica de tu entorno con geomática; Fundamentos de geología aplicada al ambiente construido; Evaluación del impacto ambiental de proyectos territoriales; Aplicación de métodos numéricos al ambiente construido; Análisis de fenómenos naturales y sociales con probabilidad y estadística; Optativa de humanidades y bellas artes.|3° Semestre: Diagnóstico territorial; Ecobarrio; Derecho Urbano; Ecología urbana; Infraestructura urbana; Optativa de ciencias sociales y del comportamiento; Tópico de exploración. |4° Semestre: Ciudades competitivas: Innovación; Ciudades competitivas: Modalidad; Ciudades del futuro; Ciudades competitivas: Calidad de vida; Optativa de liderazgo; emprendimiento e innovación.|5° Semestre: Metrópolis sostenible: Mitigación; Metrópolis sostenible: Resiliencia; Economía urbana; Metrópolis sostenible: Adaptación; Optativa de ética y ciudadanía.|6° Semestre: Tópicos I; Tópicos II; Tópicos III; Tópicos VI; Tópicos V; Tópicos VI.|7° Semestre: Gestión y administración de proyectos territoriales de inversión.|8° Semestre: Ciudades emergentes; Complejidad y debate; Optativa profesional multidisciplinaria.
LEC-Licenciatura en Economía,Carrera profesional,Derecho; Economía y Relaciones Internacionales,Ciudad de México; Estado de México; Santa Fe; Monterrey; Puebla,8 semestres,Semestral,1° Semestre: Transformación del México contemporáneo; Optativa de matemáticas y ciencias; Pensamiento matemático I; Filosofía política para los dilemas contemporáneos; Introducción a las ciencias sociales; Desafíos globales; Principios de programación para las ciencias sociales.|2° Semestre: Introducción al derecho; Emprendimiento y tecnología para la transformación de México; Macroeconomía; Microeconomía; Optativa de humanidades y bellas artes; Métodos cuantitativos I; Pensamiento matemático II; Herramientas tecnológicas para las ciencias sociales.|3° Semestre: Macroeconomía y desarrollo económico; Economía conductual; Optativa de ciencias sociales y del comportamiento; Economía para la toma de decisiones; Métodos cuantitativos II; Pensamiento matemático III; Participación política y sociología de la identidad; Tópico de exploración.|4° Semestre: Dinero y capitales; Incentivos del consumidor y productor; Fundamentos de econometría; Origen y futuro del panorama macroeconómico; Fundamentos de estadística; Optativa de liderazgo; emprendimiento e innovación; Fundamentos de estadística; Pensamiento matemático IV.|5° Semestre: Competencia económica; Decisiones estratégicas en mercados e instituciones; Econometría I; Econometría II; Multivariante; Optativa de ética y ciudadanía.|6° Semestre: Tópicos I; Tópicos II; Tópicos III; Tópicos IV; Tópicos V; Tópicos VI.|7° Semestre: Optativa Profesional I; Optativa Profesional II; Optativa Profesional III; Optativa Profesional IV; Optativa Profesional V; Optativa Profesional VI.|8° Semestre: Solución y evaluación de problemas económicos; Optativa profesional multidisciplinaria.
LED-Licenciatura en Derecho,Carrera profesional,Derecho; Economía y Relaciones Internacionales,Ciudad de México; Estado de México; Santa Fe; Monterrey; Puebla; Chihuahua; Guadalajara; Querétaro; Toluca,8 semestres,Semestral,1° Semestre: Transformación del México contemporáneo; Optativa de matemáticas y ciencias; Filosofía política para los dilemas contemporáneos; Pensamiento matemático I; Desafíos globales; Introducción a las ciencias sociales; Principios de programación para las ciencias sociales.|2° Semestre: Introducción al derecho; Emprendimiento y tecnología para la transformación de México; Macroeconomía; Microeconomía; Optativa de humanidades y bellas artes; Métodos cuantitativos I; Pensamiento matemático II; Herramientas tecnológicas para las ciencias sociales.3° Semestre: Bienes y derechos reales; Argumentación jurídica; Personas y acto jurídico; Seminario de personas y acto jurídico; Seminario de teoría del derecho; Teoría del derecho; Tópico de exploración; Derecho constitucional; Argumentación jurídica; Seminario de argumentación jurídica; Seminario de teoría del derecho; Teoría del derecho; Optativa de ciencias sociales y del comportamiento.|4° Semestre: Derecho penal y delitos en especial; Solución de conflictos y teoría general del proceso; Derecho de las obligaciones I; Derecho de las obligaciones II; Seminario de derecho de las obligaciones I; Derechos humanos y su interpretación judicial; Solución de conflictos y teoría general del proceso; Derecho de las obligaciones II; Seminario de derecho de las obligaciones I; Optativa de liderazgo; emprendimiento e innovación.|5° Semestre: Contratos civiles y mercantiles; Familia y sucesiones; Derecho laboral I; Derecho laboral ll; Seminario de derecho de las obligaciones II; Optativa de ética y ciudadanía.|6° Semestre: Controles constitucionales I; Derecho administrativo II; Derecho procesal civil y mercantil; Derecho fiscal; Derecho procesal laboral; Empresa y cumplimiento regulatorio; Juicios orales; Sistema penal acusatorio; Sociedades mercantiles.|7° Semestre: Controles constitucionales II; Derecho internacional privado y arbitraje comercial internacional; Derecho procesal fiscal y administrativo; Derecho de la propiedad intelectual; Derecho internacional público; Ética para abogados; Inglés legal; Seminario de derecho internacional público; Títulos y operaciones de crédito.|8° Semestre: Tópicos I; Tópicos II; Tópicos III; Tópicos IV; Tópicos V; Tópicos VI.|9° Semestre: Optativa profesional multidisciplinaria; Investigación jurídica aplicada.
LRI-Licenciatura en Relaciones Internacionales,Carrera profesional,Derecho; Economía y Relaciones Internacionales,Ciudad de México; Estado de México; Santa Fe; Guadalajara; Monterrey; Puebla; Querétaro,8 semestres,Semestral,1° Semestre: Transformación del México contemporáneo; Optativa de matemáticas y ciencias; Pensamiento matemático I; Filosofía política para los dilemas contemporáneos; Introducción a las ciencias sociales; Desafíos globales; Principios de programación para las ciencias sociales.|2° Semestre: Introducción al derecho; Emprendimiento y tecnología para la transformación de México; Macroeconomía; Microeconomía; Métodos cuantitativos I; Optativa de humanidades y bellas artes; Pensamiento matemático II; Herramientas tecnológicas para las ciencias sociales.|3° Semestre: Macroeconomía y desarrollo económico; Economía conductual; Economía para la toma de decisiones; Optativa de ciencias sociales y del comportamiento; Métodos cuantitativos II; Pensamiento matemático III; Participación política y sociología de la identidad; Tópico de exploración.|4° Semestre: Optativa de liderazgo; emprendimiento e innovación; Análisis histórico del sistema internacional; Escenarios regionales en el mundo contemporáneo; Prospectiva sobre escenarios político-económicos internacionales; Teorías clásicas de relaciones internacionales; Teorías contemporáneas de relaciones internacionales; Teorías contemporáneas de relaciones internacionales.|5° Semestre: Optativa de ética y ciudadanía;Conflicto y negociación; Cooperación y gobernanza global; Conflicto y negociación; Gestión de bienes públicos globales en la sociedad de riesgo; Cooperación y gobernanza global; Aspectos jurídicos de las relaciones internacionales; Gestión de bienes públicos globales en la sociedad de riesgo; Riesgos y amenazas en la agenda global contemporánea; Organismos internacionales.|6° Semestre: Tópicos I; Tópicos II; Tópicos III; Tópicos IV; Tópicos V; Tópicos VI.|7° Semestre: Optativa Profesional I; Optativa Profesional II; Optativa Profesional III; Optativa Profesional IV; Optativa Profesional V; Optativa Profesional VI.|8° Semestre: Optativa profesional multidisciplinaria; Análisis y estrategias de política exterior.
LTP-Licenciatura en Gobierno y Transformación Pública,Carrera profesional,Derecho; Economía y Relaciones Internacionales,Ciudad de México; Monterrey,8 semestres,Semestral,1° Semestre: Transformación del México contemporáneo; Optativa de matemáticas y ciencias; Pensamiento matemático I; Filosofía política para los dilemas contemporáneos; Introducción a las ciencias sociales; Desafíos globales; Principios de programación para las ciencias sociales.|2° Semestre: Introducción al derecho; Emprendimiento y tecnología para la transformación de México; Macroeconomía; Microeconomía; Optativa de humanidades y bellas artes; Métodos cuantitativos I; Pensamiento matemático II; Herramientas tecnológicas para las ciencias sociales.|3° Semestre: Macroeconomía y desarrollo económico; Economía conductual; Economía para la toma de decisiones; Optativa de ciencias sociales y del comportamiento; Métodos cuantitativos II; Pensamiento matemático III; Participación política y sociología de la identidad; Tópico de exploración.|4° Semestre: Optativa de liderazgo; emprendimiento e innovación; Instituciones; regulación y política pública; Ciencia de datos para la toma de decisiones I; Opinión pública; Ciencia de datos para la toma de decisiones I; Métodos econométricos y política pública.|5° Semestre: Economía conductual y neurociencia política; Políticas tecnológicas para el desarrollo; Ciencia de datos para la toma de decisiones II; Optativa de ética y ciudadanía; Elección pública e instituciones políticas comparadas.|6° Semestre: Análisis de decisiones bajo condiciones de incertidumbre; Gobierno; sector privado; tecnología y nuevos mercados; Economía política del cambio tecnológico y el desarrollo; Experimentos e inferencia causal para política pública.|7° Semestre: Tópicos I; Tópicos II; Tópicos III; Tópicos IV; Tópicos V; Tópicos VI.|8° Semestre: Optativa profesional multidisciplinaria; Diseño e implementación de innovaciones públicas.
LAD-Licenciatura en Arte Digital,Carrera profesional,Estudios Creativos,Ciudad de México; Estado de México; Santa Fe; Guadalajara; Monterrey; Puebla; Querétaro,8 semestres,Semestral,1° Semestre: Cultura visual y sonora; Metodologías de investigación de factores humanos; Optativa de matemáticas y ciencias; Técnicas y discursos fotográficos; Metodologías del pensamiento creativo; Inmersión y experimentación creativa.|2° Semestre: Representación formal del espacio; Optativa de humanidades y bellas artes; Semiótica y narratologías contemporáneas; Narrativa audiovisual; Imaginarios culturales de México; Estructuras simbólicas en la imagen; la literatura y la música.|3° Semestre: Pre-producción de cortometraje animado; Dibujo; Fundamentos de la animación; Tópico de exploración; Producción de cortometraje animado; Historia de la animación; Optativa de ciencias sociales y del comportamiento.|4° Semestre: Arte conceptual; Arte instalación; Introducción al 3D; Fundamentos de interacción; Exploración de la forma; Optativa de liderazgo; emprendimiento e innovación.|5° Semestre: Optativa de ética y ciudadanía; Optativa de arte digital I; Optativa de arte digital II; Optativa de arte digital III; Optativa de arte digital VI; Optativa de arte digital V; Optativa de arte digital VI.|6° Semestre: Proyecto de arte digital.|7° Semestre: Tópicos I; Tópicos II; Tópicos III; Tópicos IV; Tópicos V; Tópicos VI.|8° Semestre: Proyecto integral de arte digital; Optativa profesional multidisciplinaria.
LC-Licenciatura en Comunicación,Carrera profesional,Estudios Creativos,Ciudad de México; Estado de México; Santa Fe; Guadalajara; Monterrey; Puebla; Querétaro; Toluca,8 semestres,Semestral,1° Semestre: Cultura visual y sonora; Metodologías de investigación de factores humanos; Optativa de matemáticas y ciencias; Técnicas y discursos fotográficos; Metodologías del pensamiento creativo; Inmersión y experimentación creativa.|2° Semestre: Representación formal del espacio; Optativa de humanidades y bellas artes; Semiótica y narratologías contemporáneas; Narrativa audiovisual; Imaginarios culturales de México; Estructuras simbólicas en la imagen; la literatura y la música.|3° Semestre: Producción de audio; video y diseño digital; Teorías de la comunicación; Del humanismo al post-humanismo; Metodologías de investigación para la comunicación; Optativa de ciencias sociales y del comportamiento; Tópico de exploración.|4° Semestre: Guionismo y producción de narrativas audiovisuales; Comunicación estratégica aplicada; Fotografía publicitaria y comercial; Optativa de liderazgo; emprendimiento e innovación.|5° Semestre: Narrativa documental; Estudios culturales y medios; Producción periodística convergente; Comunicación; mercadotecnia digital y minería de datos; Optativa de ética y ciudadanía.|6° Semestre: Optativa de arte digital I; Optativa de arte digital II; Optativa de arte digital III; Optativa de arte digital VI; Optativa de arte digital V; Optativa de arte digital VI.|7° Semestre: Tópicos I; Tópicos II; Tópicos III; Tópicos IV; Tópicos V; Tópicos VI.|8° Semestre: Proyecto integrador de comunicación; Optativa profesional multidisciplinaria.
LDI-Licenciatura en Diseño,Carrera profesional,Estudios Creativos,Ciudad de México; Estado de México; Guadalajara; Monterrey; Puebla; Querétaro; Sonora Norte; Toluca,8 semestres,Semestral,o
LEI-Licenciatura en Innovación Educativa,Carrera profesional,Estudios Creativos,Monterrey,8 semestres,Semestral,o
LLE-Licenciatura en Letras Hispánicas,Carrera profesional,Estudios Creativos,Monterrey,8 semestres,Semestral,o
LPE-Licenciatura en Periodismo,Carrera profesional,Estudios Creativos,Monterrey,8 semestres,Semestral,o
LTM-Licenciatura en Tecnología y Producción Musical,Carrera profesional,Estudios Creativos,Ciudad de México; Estado de México; Santa Fe; Guadalajara; Monterrey; Puebla; Querétaro,8 semestres,Semestral,o
IDM-Ingeniería en Ciencia de Datos y Matemáticas,Carrera profesional,Ingeniería y Ciencias,Ciudad de México; Estado de México; Guadalajara; Monterrey; Puebla; Querétaro; Sonora Norte; Toluca,8 semestres,Semestral,o
IFI-Ingeniería Física Industrial,Carrera profesional,Ingeniería y Ciencias,Monterrey,8 semestres,Semestral,o
INA-Ingeniería en Nanotecnología,Carrera profesional,Ingeniería y Ciencias,Estado de México; Monterrey,8 semestres,Semestral,o
IAG-Ingeniería en Biosistemas Agroalimentarios,Carrera profesional,Ingeniería y Ciencias,Querétaro,8 semestres,Semestral,o
IAL-Ingeniería en Alimentos,Carrera profesional,Ingeniería y Ciencias,Monterrey; Querétaro,8 semestres,Semestral,o
IBT-Ingeniería en Biotecnología,Carrera profesional,Ingeniería y Ciencias,Ciudad de México; Estado de México; Chihuahua; Guadalajara; Monterrey; Puebla; Querétaro; Toluca,8 semestres,Semestral,o
IDS-Ingeniería en Desarrollo Sustentable,Carrera profesional,Ingeniería y Ciencias,Querétaro; Ciudad de México; Santa Fe; Monterrey,8 semestres,Semestral,o
IQ-Ingeniería Química,Carrera profesional,Ingeniería y Ciencias,Puebla; Estado de México; Guadalajara; Monterrey,8 semestres,Semestral,o
IRS-Ingeniería en Robótica y Sistemas Digitales,Carrera profesional,Ingeniería y Ciencias,Querétaro; Puebla; Ciudad de México; Estado de México; Guadalajara; Monterrey,8 semestres,Semestral,o
